0,1,2,3,4,5,6,7,8,9,10
100.0,Steven,King,SKING,515.123.4567,2003-06-17,AD_PRES,24000.0,,,90.0
101.0,Neena,Kochhar,NKOCHHAR,515.123.4568,2005-09-21,AD_VP,17000.0,,100.0,90.0
102.0,Lex,De Haan,LDEHAAN,515.123.4569,2001-01-13,AD_VP,17000.0,,100.0,90.0
103.0,Alexander,Hunold,AHUNOLD,590.423.4567,2006-01-03,IT_PROG,9000.0,,102.0,60.0
104.0,Bruce,Ernst,BERNST,590.423.4568,2007-05-21,IT_PROG,6000.0,,103.0,60.0
105.0,David,Austin,DAUSTIN,590.423.4569,2005-06-25,IT_PROG,4800.0,,103.0,60.0
106.0,Valli,Pataballa,VPATABAL,590.423.4560,2006-02-05,IT_PROG,4800.0,,103.0,60.0
107.0,Diana,Lorentz,DLORENTZ,590.423.5567,2007-02-07,IT_PROG,4200.0,,103.0,60.0
108.0,Nancy,Greenberg,NGREENBE,515.124.4569,2002-08-17,FI_MGR,12008.0,,101.0,100.0
109.0,Daniel,Faviet,DFAVIET,515.124.4169,2002-08-16,FI_ACCOUNT,9000.0,,108.0,100.0
110.0,John,Chen,JCHEN,515.124.4269,2005-09-28,FI_ACCOUNT,8200.0,,108.0,100.0
111.0,Ismael,Sciarra,ISCIARRA,515.124.4369,2005-09-30,FI_ACCOUNT,7700.0,,108.0,100.0
112.0,Jose Manuel,Urman,JMURMAN,515.124.4469,2006-03-07,FI_ACCOUNT,7800.0,,108.0,100.0
113.0,Luis,Popp,LPOPP,515.124.4567,2007-12-07,FI_ACCOUNT,6900.0,,108.0,100.0
114.0,Den,Raphaely,DRAPHEAL,515.127.4561,2002-12-07,PU_MAN,11000.0,,100.0,30.0
115.0,Alexander,Khoo,AKHOO,515.127.4562,2003-05-18,PU_CLERK,3100.0,,114.0,30.0
116.0,Shelli,Baida,SBAIDA,515.127.4563,2005-12-24,PU_CLERK,2900.0,,114.0,30.0
117.0,Sigal,Tobias,STOBIAS,515.127.4564,2005-07-24,PU_CLERK,2800.0,,114.0,30.0
118.0,Guy,Himuro,GHIMURO,515.127.4565,2006-11-15,PU_CLERK,2600.0,,114.0,30.0
119.0,Karen,Colmenares,KCOLMENA,515.127.4566,2007-08-10,PU_CLERK,2500.0,,114.0,30.0
120.0,Matthew,Weiss,MWEISS,650.123.1234,2004-07-18,ST_MAN,8000.0,,100.0,50.0
121.0,Adam,Fripp,AFRIPP,650.123.2234,2005-04-10,ST_MAN,8200.0,,100.0,50.0
122.0,Payam,Kaufling,PKAUFLIN,650.123.3234,2003-05-01,ST_MAN,7900.0,,100.0,50.0
123.0,Shanta,Vollman,SVOLLMAN,650.123.4234,2005-10-10,ST_MAN,6500.0,,100.0,50.0
124.0,Kevin,Mourgos,KMOURGOS,650.123.5234,2007-11-16,ST_MAN,5800.0,,100.0,50.0
125.0,Julia,Nayer,JNAYER,650.124.1214,2005-07-16,ST_CLERK,3200.0,,120.0,50.0
126.0,Irene,Mikkilineni,IMIKKILI,650.124.1224,2006-09-28,ST_CLERK,2700.0,,120.0,50.0
127.0,James,Landry,JLANDRY,650.124.1334,2007-01-14,ST_CLERK,2400.0,,120.0,50.0
128.0,Steven,Markle,SMARKLE,650.124.1434,2008-03-08,ST_CLERK,2200.0,,120.0,50.0
129.0,Laura,Bissot,LBISSOT,650.124.5234,2005-08-20,ST_CLERK,3300.0,,121.0,50.0
130.0,Mozhe,Atkinson,MATKINSO,650.124.6234,2005-10-30,ST_CLERK,2800.0,,121.0,50.0
131.0,James,Marlow,JAMRLOW,650.124.7234,2005-02-16,ST_CLERK,2500.0,,121.0,50.0
132.0,TJ,Olson,TJOLSON,650.124.8234,2007-04-10,ST_CLERK,2100.0,,121.0,50.0
133.0,Jason,Mallin,JMALLIN,650.127.1934,2004-06-14,ST_CLERK,3300.0,,122.0,50.0
134.0,Michael,Rogers,MROGERS,650.127.1834,2006-08-26,ST_CLERK,2900.0,,122.0,50.0
135.0,Ki,Gee,KGEE,650.127.1734,2007-12-12,ST_CLERK,2400.0,,122.0,50.0
136.0,Hazel,Philtanker,HPHILTAN,650.127.1634,2008-02-06,ST_CLERK,2200.0,,122.0,50.0
137.0,Renske,Ladwig,RLADWIG,650.121.1234,2003-07-14,ST_CLERK,3600.0,,123.0,50.0
138.0,Stephen,Stiles,SSTILES,650.121.2034,2005-10-26,ST_CLERK,3200.0,,123.0,50.0
139.0,John,Seo,JSEO,650.121.2019,2006-02-12,ST_CLERK,2700.0,,123.0,50.0
140.0,Joshua,Patel,JPATEL,650.121.1834,2006-04-06,ST_CLERK,2500.0,,123.0,50.0
141.0,Trenna,Rajs,TRAJS,650.121.8009,2003-10-17,ST_CLERK,3500.0,,124.0,50.0
142.0,Curtis,Davies,CDAVIES,650.121.2994,2005-01-29,ST_CLERK,3100.0,,124.0,50.0
143.0,Randall,Matos,RMATOS,650.121.2874,2006-03-15,ST_CLERK,2600.0,,124.0,50.0
144.0,Peter,Vargas,PVARGAS,650.121.2004,2006-07-09,ST_CLERK,2500.0,,124.0,50.0
145.0,John,Russell,JRUSSEL,011.44.1344.429268,2004-10-01,SA_MAN,14000.0,0.4,100.0,80.0
146.0,Karen,Partners,KPARTNER,011.44.1344.467268,2005-01-05,SA_MAN,13500.0,0.3,100.0,80.0
147.0,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,2005-03-10,SA_MAN,12000.0,0.3,100.0,80.0
148.0,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,2007-10-15,SA_MAN,11000.0,0.3,100.0,80.0
149.0,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,2008-01-29,SA_MAN,10500.0,0.2,100.0,80.0
150.0,Peter,Tucker,PTUCKER,011.44.1344.129268,2005-01-30,SA_REP,10000.0,0.3,145.0,80.0
151.0,David,Bernstein,DBERNSTE,011.44.1344.345268,2005-03-24,SA_REP,9500.0,0.25,145.0,80.0
152.0,Peter,Hall,PHALL,011.44.1344.478968,2005-08-20,SA_REP,9000.0,0.25,145.0,80.0
153.0,Christopher,Olsen,COLSEN,011.44.1344.498718,2006-03-30,SA_REP,8000.0,0.2,145.0,80.0
154.0,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,2006-12-09,SA_REP,7500.0,0.2,145.0,80.0
155.0,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,2007-11-23,SA_REP,7000.0,0.15,145.0,80.0
156.0,Janette,King,JKING,011.44.1345.429268,2004-01-30,SA_REP,10000.0,0.35,146.0,80.0
